RID	Regularity	Read_Len	Thresh	#All_Monomers(clustered+not_clustered)	#mono_in_a_cluster	Isolates_(unclustered_monomers)	Clustered_monomer_fraction_in_read	#total_clusters_(distinct_monomers_in_HOR)	mean_identity_within_clusters	mean_identity_between_clusters	min_monomeric_period	max_monomeric_period	median_monomeric_period	Normalized_min_monomeric_period	Normalized_max_monomeric_period	min_head_to_tail_interval	max_head_to_tail_interval	median_head_to_tail_interval
e7c28fe7_62241_0 N 2139 0.900000 12 0 12 . 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 
ad8633f0_71285_0 I 9722	0.900000	56	55	1	0.961736	14	0.958009	0.707005	170	6037	2820	0.060284	2.140780	0	160	0
6ed935a0_20072_0 R 8646	0.950000	50	50	0	0.983114	13	0.984519	0.682422	2186	2199	2194	0.996354	1.002279	-2	2	0
e7c28fe7_38071_0 R 7189	0.950000	42	42	0	0.993184	18	0.991831	0.679662	3051	3057	3054	0.999018	1.000982	0	0	0
46857a61_77805_0 N 4746 0.900000 27 0 27 . 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 
4c6cefac_25653_0 I 6379	0.900000	37	37	0	0.986048	6	0.957405	0.698745	332	1352	1009	0.329039	1.339941	0	0	0
87b8fe32_37569_1815 R 4110	0.950000	24	24	0	0.992701	9	0.984385	0.666433	1519	1528	1526	0.995413	1.001311	0	0	0
66971578_42447_0 N 7677 0.900000 21 0 21 . 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 
7064efe2_25432_0 R 6938	0.950000	40	40	0	0.980110	10	0.990277	0.664659	1684	1697	1692	0.995272	1.002955	0	0	0
797f51d1_6192_0 N 2487 0.900000 6 0 6 . 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 
1246dc9f_22562_0 I 11098	0.900000	65	65	0	0.995675	14	0.969843	0.698217	339	2713	2706	0.125277	1.002587	0	1	0
71907878_42243_0 R 3232	0.950000	18	18	0	0.946782	6	0.998685	0.690785	1021	1022	1022	0.999022	1.000000	0	1	0
122d78d5_12400_0 R 8150	0.950000	48	48	0	1.001227	8	0.979048	0.687952	1337	1360	1346	0.993314	1.010401	0	0	0
b9c8fe57_45941_0 N 3015 0.900000 11 0 11 . 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 
57908c3d_11883_460 I 5084	0.900000	20	4	16	0.133753	2	0.991329	0.719633	512	513	513	0.998051	1.000000	-2	171	-2
9cc1d24b_40883_0 I 10745	0.900000	63	62	1	0.980921	10	0.983060	0.654211	1673	3370	1691	0.989355	1.992904	0	152	0
71dec02e_70548_0 I 6503	0.900000	38	36	2	0.941104	15	0.990295	0.680334	2548	2887	2883	0.883802	1.001387	0	337	0
b74884c0_20820_0 R 10267	0.950000	59	59	0	0.976916	5	0.995453	0.659191	848	851	849	0.998822	1.002356	-1	1	0
a9e58575_39744_0 N 2773 0.900000 16 0 16 . 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 
73d94249_65341_0 N 5299 0.900000 27 0 27 . 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 
4a6e6a45_78460_0 N 3933 0.900000 22 0 22 . 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 
490fd58c_69029_0 R 10031	0.950000	58	58	0	0.982953	12	0.995362	0.687779	2030	2034	2032	0.999016	1.000984	0	1	0
cd84fe0a_70363_0 N 7051 0.900000 29 0 29 . 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 
f772ee65_61450_0 I 3778	0.900000	21	5	16	0.224987	2	0.926106	0.694879	665	2533	2530	0.262846	1.001186	0	2192	248
73b40ef2_25262_0 N 6049 0.900000 22 2 22 . 1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 
026f1e25_67303_0 R 8013	0.950000	46	46	0	0.975914	18	0.991020	0.677463	3038	3055	3047	0.997046	1.002626	0	1	0
60519f4d_30515_1724 V 2840 0.950000 15 0 15 . 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 
d0c091a0_48162_0 I 4514	0.900000	26	13	13	0.489588	6	0.971689	0.694797	849	3410	3409	0.249047	1.000293	0	1534	0
df68ba04_5931_0 R 12385	0.950000	72	72	0	0.988292	6	0.986810	0.692321	1009	1023	1018	0.991159	1.004912	-3	1	0
6de9ea45_60262_0 R 3754	0.950000	21	21	0	0.950986	5	0.975568	0.656300	844	851	846	0.997636	1.005910	0	1	0
37a488cf_53137_0 I 2630	0.900000	15	11	4	0.711027	2	0.939426	0.689796	323	1011	335	0.964179	3.017910	-6	675	0
